epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,133.63,1.10627,0.77686,1.33543,0.98958,1,0.995,0.48578,1.75153,0.76664,2.60364,0.0011684,0.0011684,0.0011684
44,136.614,1.09045,0.72107,1.31196,0.91632,0.91283,0.88787,0.4398,1.76073,0.78853,2.54594,0.0011486,0.0011486,0.0011486
45,140.426,1.04845,0.75018,1.28473,1,0.99378,0.995,0.43694,1.99778,0.78166,2.74058,0.0011288,0.0011288,0.0011288
46,145.037,1.07359,0.74062,1.30424,0.9972,1,0.995,0.48105,1.86633,0.67061,2.54802,0.001109,0.001109,0.001109
47,148.39,1.03853,0.69256,1.26822,1,0.98144,0.995,0.51084,1.81384,0.71204,2.45103,0.0010892,0.0010892,0.0010892
48,151.814,1.02871,0.65956,1.26791,0.91697,1,0.98269,0.57413,1.62644,0.65577,2.17314,0.0010694,0.0010694,0.0010694
49,154.832,1.04533,0.63804,1.22359,0.99491,1,0.995,0.63068,1.36175,0.53297,1.88433,0.0010496,0.0010496,0.0010496
50,158.108,1.05922,0.72426,1.29276,0.99488,1,0.995,0.67394,1.23057,0.51738,1.80125,0.0010298,0.0010298,0.0010298
51,162.568,1.08416,0.76689,1.29159,0.99522,1,0.995,0.56746,1.47999,0.59373,2.08348,0.00101,0.00101,0.00101
52,166.957,1.04916,0.69984,1.23593,0.99237,1,0.995,0.55726,1.52408,0.59627,2.15675,0.0009902,0.0009902,0.0009902
53,170.274,1.07283,0.67739,1.29646,0.99433,1,0.995,0.57243,1.66692,0.60011,2.20626,0.0009704,0.0009704,0.0009704
54,174.007,1.06132,0.67484,1.28303,0.99348,1,0.995,0.5274,1.75001,0.62523,2.40959,0.0009506,0.0009506,0.0009506
55,178.836,1.02508,0.67585,1.27718,0.9937,1,0.995,0.62563,1.37509,0.53953,1.98266,0.0009308,0.0009308,0.0009308
56,185.458,1.01908,0.64372,1.24299,0.99124,1,0.995,0.55634,1.63506,0.65416,2.45628,0.000911,0.000911,0.000911
57,191.356,1.11017,0.69425,1.29354,0.97948,1,0.995,0.5428,1.64054,0.71238,2.4094,0.0008912,0.0008912,0.0008912
58,196.909,1.01495,0.64393,1.26751,0.99444,1,0.995,0.61306,1.44232,0.62244,2.07333,0.0008714,0.0008714,0.0008714
59,202.369,1.02625,0.65472,1.27958,0.99501,1,0.995,0.603,1.42797,0.56351,2.1914,0.0008516,0.0008516,0.0008516
60,207.759,1.01702,0.66546,1.23877,0.99527,1,0.995,0.58715,1.4837,0.50594,2.3188,0.0008318,0.0008318,0.0008318
61,212.789,0.9798,0.6172,1.23691,0.99498,1,0.995,0.63769,1.38994,0.46812,2.1029,0.000812,0.000812,0.000812
62,218.425,0.96729,0.63082,1.22162,0.99523,1,0.995,0.6356,1.34416,0.50802,2.09608,0.0007922,0.0007922,0.0007922
63,223.167,0.86524,0.572,1.16341,0.99527,1,0.995,0.61655,1.39492,0.53316,2.11743,0.0007724,0.0007724,0.0007724
64,228.306,0.97534,0.64314,1.24611,0.98827,1,0.995,0.58029,1.59452,0.60535,2.26587,0.0007526,0.0007526,0.0007526
65,233.366,0.89136,0.59708,1.17969,0.99358,1,0.995,0.61248,1.52858,0.63795,2.15906,0.0007328,0.0007328,0.0007328
66,239.04,0.91327,0.61982,1.20844,0.99545,1,0.995,0.62907,1.50468,0.56305,2.16678,0.000713,0.000713,0.000713
67,244.862,0.86248,0.59087,1.16377,0.99486,1,0.995,0.542,1.61607,0.52228,2.43837,0.0006932,0.0006932,0.0006932
68,250.52,0.96232,0.58045,1.24356,0.99471,1,0.995,0.5322,1.61335,0.57502,2.44625,0.0006734,0.0006734,0.0006734
69,255.783,0.92669,0.6219,1.20273,0.99505,1,0.995,0.51938,1.81525,0.59239,2.61362,0.0006536,0.0006536,0.0006536
70,260.375,0.83049,0.56091,1.15459,0.99508,1,0.995,0.48849,2.00474,0.58859,3.03606,0.0006338,0.0006338,0.0006338
71,265.384,0.84985,0.62308,1.16312,0.99516,1,0.995,0.52277,1.92965,0.60394,2.89636,0.000614,0.000614,0.000614
72,271.368,0.90911,0.56776,1.17798,0.99502,1,0.995,0.57867,1.65746,0.57039,2.43774,0.0005942,0.0005942,0.0005942
73,276.57,0.902,0.58172,1.1914,0.99501,1,0.995,0.60542,1.5801,0.58112,2.26857,0.0005744,0.0005744,0.0005744
74,281.649,0.88021,0.59186,1.17755,0.99448,1,0.995,0.58506,1.46971,0.55856,2.13557,0.0005546,0.0005546,0.0005546
75,286.457,0.87037,0.56336,1.13405,0.99469,1,0.995,0.55079,1.5946,0.54939,2.32209,0.0005348,0.0005348,0.0005348
76,291.977,0.87744,0.59877,1.17671,0.99468,1,0.995,0.53936,1.60493,0.52608,2.34205,0.000515,0.000515,0.000515
77,296.654,0.83011,0.53963,1.14319,0.99494,1,0.995,0.55755,1.59654,0.51698,2.27965,0.0004952,0.0004952,0.0004952
78,301.34,0.82291,0.54973,1.16527,0.99471,1,0.995,0.60589,1.57475,0.56247,2.22905,0.0004754,0.0004754,0.0004754
79,306.046,0.85345,0.55133,1.15508,0.99402,1,0.995,0.6105,1.55709,0.62679,2.16245,0.0004556,0.0004556,0.0004556
80,311.285,0.86794,0.55831,1.15477,0.99535,1,0.995,0.58259,1.48956,0.61361,2.04909,0.0004358,0.0004358,0.0004358
81,316.401,0.91982,0.5785,1.24928,0.91165,0.91667,0.88839,0.56726,1.61801,0.58385,2.43961,0.000416,0.000416,0.000416
82,321.232,0.86623,0.54464,1.15497,0.9946,1,0.995,0.53458,1.63243,0.59012,2.42038,0.0003962,0.0003962,0.0003962
83,326.157,0.77829,0.5281,1.11333,0.9945,1,0.995,0.59549,1.52293,0.55775,2.24165,0.0003764,0.0003764,0.0003764
84,331.584,0.81957,0.53855,1.1524,0.99484,1,0.995,0.64977,1.45345,0.4926,2.19358,0.0003566,0.0003566,0.0003566
85,335.16,0.78073,0.53763,1.10492,0.99458,1,0.995,0.58169,1.50633,0.5112,2.11838,0.0003368,0.0003368,0.0003368
86,337.497,0.85402,0.52232,1.14788,0.9941,1,0.995,0.59013,1.53256,0.53618,2.06588,0.000317,0.000317,0.000317
87,339.809,0.83067,0.52018,1.15781,0.99458,1,0.995,0.6171,1.40527,0.51782,2.01626,0.0002972,0.0002972,0.0002972
88,342.137,0.80967,0.51006,1.11581,0.99518,1,0.995,0.5957,1.40115,0.52456,2.06468,0.0002774,0.0002774,0.0002774
89,344.679,0.73809,0.47385,1.08725,0.99513,1,0.995,0.63716,1.3419,0.51798,1.94615,0.0002576,0.0002576,0.0002576
90,348.202,0.73033,0.46786,1.09331,0.99511,1,0.995,0.614,1.36264,0.50577,1.97026,0.0002378,0.0002378,0.0002378
91,413.73,0.66204,0.47331,1.10428,0.99506,1,0.995,0.58386,1.41438,0.49593,2.1051,0.000218,0.000218,0.000218
92,416.064,0.71566,0.49684,1.14779,0.99475,1,0.995,0.53443,1.56646,0.51509,2.32169,0.0001982,0.0001982,0.0001982
93,418.366,0.67203,0.4391,1.09864,0.9939,1,0.995,0.5332,1.55312,0.50425,2.32274,0.0001784,0.0001784,0.0001784
94,420.684,0.60258,0.40063,1.07536,0.99405,1,0.995,0.58996,1.48436,0.49622,2.20559,0.0001586,0.0001586,0.0001586
95,423.002,0.60976,0.40294,1.07653,0.99429,1,0.995,0.60512,1.44959,0.50404,2.16319,0.0001388,0.0001388,0.0001388
96,425.287,0.60324,0.40155,1.06,0.99419,1,0.995,0.61895,1.40613,0.47932,2.1089,0.000119,0.000119,0.000119
97,427.603,0.58684,0.40356,1.08243,0.99418,1,0.995,0.64826,1.40278,0.50002,2.13072,9.92e-05,9.92e-05,9.92e-05
98,429.874,0.60784,0.40126,1.04439,0.99397,1,0.995,0.62632,1.42844,0.51798,2.17378,7.94e-05,7.94e-05,7.94e-05
99,432.176,0.57884,0.39555,1.06131,0.99399,1,0.995,0.62481,1.43701,0.52384,2.17976,5.96e-05,5.96e-05,5.96e-05
100,434.484,0.56739,0.40278,1.05733,0.99442,1,0.995,0.63421,1.45187,0.52939,2.17184,3.98e-05,3.98e-05,3.98e-05
